"YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","latentmean","latentsd"
1949,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.37130829943882,0.296530345588516
1950,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.4282364630246,0.268741880640259
1951,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.46416846405745,0.262314485294548
1952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.49256521418297,0.258327850004403
1953,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,-1.52264706036339,0.258319204332586
1954,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.50048972270398,0.258862219131657
1955,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.48275514214187,0.256941470259193
1956,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.46448714639366,0.252532868173398
1957,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.45480965697048,0.251816743242305
1958,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44969493503662,0.252064825478547
1959,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44653345902777,0.252895257800392
1960,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44517416973057,0.251927009900638
1961,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44267116173041,0.252682353159842
1962,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44216944594402,0.252377127221544
1963,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.43774496175677,0.252066226309737
1964,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.43208151032399,0.25194127776922
1965,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.4230650346728,0.252814118832505
1966,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.40577353539508,0.253076473368778
1967,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.37182200445388,0.255473916248483
1968,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.30666477578802,0.259106972912014
1969,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.18450888768139,0.264688212359393
1970,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-0.956680821236802,0.281833356406066
1971,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.547495043178896,0.318016852652249
1972,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.189741159066037,0.358480623740322
1973,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.149452949848118,0.38771377486424
1974,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.480076483498777,0.402444427786751
1975,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.805798131960073,0.40273244704589
1976,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.12966589011083,0.382633574899021
1977,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.40775037771991,0.3715852034037
1978,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.60740697638752,0.373546571699237
1979,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.76547673905891,0.374485773262164
1980,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.90054337548432,0.365638792327824
1981,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,1.9820596318538,0.357335939539288
1982,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,2.00091251230895,0.351320352988856
1983,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,1.97076083328474,0.34407919827329
1984,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,1.8764026606224,0.331830845187854
1985,662,2,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,1.69999338028931,0.32253997267464
1986,662,2,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,1.58893824026618,0.311317934517486
1987,662,2,2,2,2,2,2,NA,NA,NA,0,0,0,NA,NA,1.52956624787802,0.297176769896461
1988,662,2,2,2,2,1,1,NA,NA,NA,0,NA,0,NA,NA,1.5257122415225,0.291626584851297
1989,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,1.5033056638611,0.289731257399674
1990,662,2,2,2,2,2,1,NA,NA,NA,0,NA,NA,NA,0,1.46626080609708,0.284865562447906
1991,662,2,2,2,2,1,2,NA,NA,NA,0,NA,NA,NA,0,1.25899678509825,0.27982828299966
1992,662,2,2,2,2,1,2,NA,NA,NA,0,NA,NA,NA,0,1.21683539652649,0.278418868111702
1993,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,1.34636296878287,0.280655160788849
1994,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,1.41978579753454,0.281082046927358
1995,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,1.44270853583638,0.278657154239291
1996,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,1.45313456382679,0.281895603090644
1997,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,1.48324319827699,0.281700403906234
1998,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,1.49118621741141,0.280754623770273
1999,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,1.42545587776029,0.279098153858562
2000,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,1.27221055519335,0.272377561667733
2001,662,2,2,2,0,1,2,NA,NA,6,0,NA,NA,NA,0,0.959734610497776,0.266795977784859
2002,662,2,2,2,1,1,2,NA,NA,6,0,NA,NA,NA,0,0.757485423758445,0.257952223775973
2003,662,2,2,2,1,1,2,NA,NA,6,0,NA,NA,NA,0,0.578316022457743,0.247393226945273
2004,662,2,1,1,1,1,3,NA,NA,6,0,NA,NA,NA,0,0.257170254340874,0.241899784439319
2005,662,2,2,1,1,0,3,NA,NA,6,0,NA,NA,NA,0,0.156823855087127,0.243375518247506
2006,662,2,2,1,1,0,3,NA,NA,NA,0,NA,NA,NA,0,0.214640446507029,0.245755071736993
2007,662,2,2,1,1,1,3,NA,NA,NA,0,NA,NA,NA,0,0.333705715508739,0.245493062830963
2008,662,2,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,0.414806164788553,0.245978244922699
2009,662,2,2,1,1,1,3,NA,NA,NA,0,NA,NA,NA,0,0.428525346807651,0.247598596300193
2010,662,2,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,0.468374817710221,0.255606409029926
2011,662,2,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,0.459396329909376,0.279249718636015
2012,NA,2,NA,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,0,0.370840206738056,0.346807515794775
2013,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0.372964835060103,0.435120778280206
1949,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.90468795672169,0.722747217551787
1950,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.965780795855419,0.72822451707103
1951,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.02346628171251,0.73311119474616
1952,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.07482058236095,0.738778883806119
1953,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.12792135773546,0.745867090430241
1954,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.1767403760059,0.752461111559798
1955,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.22226698734272,0.75699195352008
1956,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.2680827432301,0.761985353015244
1957,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.31111552374185,0.767217991934665
1958,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.35068503243995,0.773425494863271
1959,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.38969849064985,0.776469456650751
1960,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.42368425171279,0.780369795285213
1961,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.45934942440055,0.780439979292627
1962,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.49222562065232,0.782151745938457
1963,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.52415773040339,0.780866749643551
1964,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.5536026139009,0.77911917670641
1965,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.58023660636456,0.77784060648241
1966,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.60788331165944,0.773759239558834
1967,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.63482311382273,0.766268163823867
1968,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.65965089574112,0.75789099646445
1969,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.68191906100757,0.746218107410024
1970,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.70413094293381,0.73244084928791
1971,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.72623491943332,0.718233021042839
1972,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.7455238054081,0.699211897844969
1973,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.76542938638334,0.679004848900675
1974,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.78353241535436,0.654454022846008
1975,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.80108684697695,0.627937201357518
1976,NA,20,NA,NA,NA,NA,1,1,NA,NA,0,0,0,0,NA,1.82038320677747,0.593992339557921
1977,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.82256107304077,0.573369210435966
1978,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.82027040159767,0.548374561534563
1979,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.81568755790286,0.517852047748634
1980,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.80290255241129,0.484109222436334
1981,194,20,2,2,2,2,NA,1,NA,NA,0,0,0,0,NA,1.78874302806658,0.443144338095962
1982,194,20,2,2,2,1,NA,1,NA,NA,0,0,0,0,NA,1.74734568831956,0.408394749122458
1983,194,20,2,2,2,1,1,1,NA,NA,0,0,0,NA,NA,1.81124841842227,0.376492536341607
1984,194,20,2,2,2,1,1,1,NA,NA,0,0,0,NA,NA,1.93196164373088,0.368093408911181
1985,194,20,2,2,2,2,NA,1,1,NA,0,0,0,NA,NA,2.11825312462685,0.375532270575923
1986,194,20,2,2,2,2,1,1,1,NA,0,0,0,NA,NA,2.2623889616825,0.376714363026495
1987,194,20,2,2,2,2,1,1,1,NA,0,0,0,NA,NA,2.37025518047658,0.376879299755433
1988,194,20,2,2,2,2,NA,1,1,NA,0,NA,0,NA,NA,2.4224164382551,0.383024608552642
1989,194,20,2,2,2,2,NA,1,1,NA,0,NA,NA,NA,0,2.43288644827616,0.380819591844744
1990,194,20,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,2.40025802182251,0.373664927827482
1991,194,20,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,2.31579515595793,0.364587954807197
1992,194,20,2,2,2,1,1,1,2,NA,0,NA,NA,NA,0,2.17553536326351,0.35126397337912
1993,194,20,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,2.24496501821368,0.345324838945841
1994,194,20,2,2,2,1,1,1,2,NA,0,NA,NA,NA,0,2.2291678721324,0.339323374348058
1995,194,20,2,2,2,2,NA,1,2,1,0,NA,NA,NA,0,2.35268969355936,0.34278859985102
1996,194,20,2,2,2,2,1,1,1,1,0,NA,NA,NA,0,2.50711696745518,0.346532909979864
1997,194,20,2,2,2,2,NA,1,1,1,0,NA,NA,NA,0,2.56862208151699,0.34546571477793
1998,194,20,2,2,2,1,NA,1,1,1,0,NA,NA,NA,0,2.51706488858476,0.339407702931318
1999,194,20,2,2,2,2,NA,1,1,1,0,NA,NA,NA,0,2.48693854090756,0.328943982132299
2000,194,20,2,2,2,1,1,1,NA,2,0,NA,NA,NA,0,2.31666621269155,0.312533483033149
2001,194,20,2,2,2,1,1,1,NA,2,0,NA,NA,NA,0,2.19373820113087,0.292124680799322
2002,194,20,2,2,2,1,1,2,NA,1,0,NA,NA,NA,0,2.07968666403789,0.271587614829758
2003,194,20,2,2,2,1,1,1,NA,6,0,NA,NA,NA,0,2.12037875483985,0.270717917172706
2004,194,20,2,2,2,1,1,1,NA,3,0,NA,NA,NA,0,2.12331597288796,0.265491021218575
2005,194,20,2,1,2,1,1,1,NA,1,0,NA,NA,NA,0,2.04102868657338,0.264272903029841
2006,194,20,2,1,2,1,1,1,NA,NA,0,NA,NA,NA,0,1.97750863026201,0.260824154200894
2007,194,20,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,1.92819770084418,0.255239528248345
2008,194,20,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,1.98612943859181,0.259827576939739
2009,194,20,2,2,2,2,1,1,NA,NA,0,NA,NA,NA,0,2.21237949843312,0.278959810749493
2010,194,20,2,1,2,1,1,1,NA,NA,0,NA,NA,NA,0,2.22836608645142,0.291479528576939
2011,194,20,2,2,2,1,1,1,NA,NA,0,NA,NA,NA,0,2.3430640687563,0.320198651208971
2012,NA,20,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,2.41994259379848,0.374811315797804
2013,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,2.4476381691824,0.436803454451965
1973,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.09397957646008,0.607480376475364
1974,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.1689831387026,0.592741806019567
1975,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.24160881050288,0.571656906842677
1976,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.31378170327396,0.546070768198632
1977,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.37539500662468,0.52729524422057
1978,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.42712471919109,0.509416653333563
1979,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.46955709124117,0.489804866043387
1980,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.49752748028967,0.477943441053886
1981,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.51475164538885,0.463011167955547
1982,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.52216155227647,0.447472596394454
1983,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,1.51595964836303,0.431852073340339
1984,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,1.49990430930363,0.411951111956915
1985,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,1.46724429057165,0.38606375877338
1986,NA,31,NA,NA,NA,NA,1,2,NA,NA,0,0,0,NA,NA,1.41109854817743,0.360793935215211
1987,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,1.55524787359299,0.371828458930229
1988,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA,NA,1.67144251188921,0.379247282114294
1989,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.77611964710856,0.370218244143555
1990,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.83333428741415,0.3701328636646
1991,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.85362868234875,0.370281338011105
1992,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.84260664070998,0.364446357769439
1993,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.79888494476278,0.358887839580461
1994,NA,31,NA,NA,NA,NA,1,2,NA,NA,0,NA,NA,NA,0,1.71880672666543,0.347353550455972
1995,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.88262097551016,0.348950458071952
1996,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.99153900533586,0.355991966339269
1997,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,2.079821687488,0.346931081510632
1998,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,2.12407967196798,0.334851783991326
1999,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,2.09661815765394,0.322152010204885
2000,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,2.00323134342797,0.307943109245229
2001,134,31,2,2,2,1,1,1,NA,NA,0,NA,NA,NA,0,1.84676180145156,0.278301462415245
2002,NA,31,NA,NA,NA,NA,2,2,NA,NA,0,NA,NA,NA,0,1.56566936483032,0.266128934422202
2003,134,31,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,1.40822343721957,0.247585777827887
2004,134,31,2,1,2,1,1,2,NA,NA,0,NA,NA,NA,0,1.47160861221443,0.247368648424588
2005,134,31,2,2,2,1,2,1,NA,NA,0,NA,NA,NA,0,1.54532457148671,0.243998062966609
2006,134,31,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,1.42880427306772,0.239226820625427
2007,134,31,2,1,2,1,3,2,NA,NA,0,NA,NA,NA,0,1.2114828583435,0.235723890557937
2008,134,31,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,1.18914431853729,0.234529621398589
2009,134,31,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,1.19825731406267,0.230817147198521
2010,134,31,2,1,2,1,1,2,NA,NA,0,NA,NA,NA,0,1.25221445198411,0.236838613767481
2011,134,31,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,1.19562055079475,0.239611893834218
2012,NA,31,NA,NA,NA,NA,2,2,NA,NA,0,NA,NA,NA,0,1.16622979916191,0.266578122669458
2013,NA,31,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,1.15997084938078,0.325090493827076
1949,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.0192266622130581,0.495092474942026
1950,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.0057617328400554,0.471835609228146
1951,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,-0.0259060510206409,0.449895560875227
1952,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,-0.0716408518695316,0.430194837569455
1953,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,-0.13336346097533,0.408592998956294
1954,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,-0.215431413329194,0.384583618397631
1955,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,-0.317691205046299,0.36034975489106
1956,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.450391129215857,0.331721162287431
1957,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.623594654092389,0.305883085503674
1958,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.858945753397798,0.279352770614189
1959,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.2094127663997,0.262230510048679
1960,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.39525682979904,0.255171722040968
1961,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.49242472221344,0.250700634027441
1962,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.54103446745402,0.248497225186634
1963,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.56491599248676,0.246430984035717
1964,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.57647953345234,0.245811205314062
1965,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.58030295785675,0.245479812291829
1966,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.57987742159296,0.245007171589842
1967,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.57551208896792,0.245731598864288
1968,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.56334813499839,0.245679943754998
1969,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,-1.54099859066441,0.24867780797413
1970,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.49093056151472,0.249461815084878
1971,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.46236410530624,0.251475708762714
1972,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44438501454006,0.252195007326897
1973,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.42502583788609,0.252191269907709
1974,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.39589324950106,0.250753612037604
1975,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.34432428344909,0.245944371021321
1976,NA,40,NA,NA,NA,NA,3,2,NA,NA,0,1,0,0,NA,-1.25226182175231,0.222155941334025
1977,NA,40,NA,NA,NA,NA,3,4,NA,NA,0,1,0,0,NA,-1.42126906807901,0.228557201117123
1978,NA,40,NA,NA,NA,NA,4,NA,NA,NA,0,1,0,0,NA,-1.43973900314655,0.230704422229126
1979,NA,40,NA,NA,NA,NA,3,3,NA,NA,0,1,0,0,NA,-1.35006813644665,0.222024819424982
1980,NA,40,NA,NA,NA,NA,3,3,NA,NA,0,1,0,0,NA,-1.29060283804283,0.22002997867161
1981,233,40,1,2,0,1,3,3,NA,NA,0,1,0,0,NA,-1.25222027701527,0.207894928773662
1982,233,40,1,1,0,0,3,3,NA,NA,0,1,0,0,NA,-1.32926049574714,0.206205082039038
1983,233,40,0,1,0,0,3,3,NA,NA,0,1,0,NA,NA,-1.33389661157217,0.203327784813619
1984,233,40,1,1,0,0,3,3,NA,NA,0,1,0,NA,NA,-1.29083251223012,0.20060169321866
1985,233,40,1,1,1,0,3,3,4,NA,0,1,0,NA,NA,-1.28438934843791,0.196221205743594
1986,233,40,1,0,0,0,3,4,4,NA,0,1,0,NA,NA,-1.37901309052587,0.196751168891462
1987,233,40,1,1,0,0,3,3,4,NA,0,1,0,NA,NA,-1.1835259898602,0.196965792304127
1988,233,40,2,2,0,0,3,3,4,NA,0,NA,0,NA,NA,-0.947715271213955,0.209702507033108
1989,233,40,2,1,0,0,3,3,3,NA,0,NA,NA,NA,0,-0.814276766048346,0.205525301252429
1990,233,40,2,1,0,0,3,3,3,NA,0,NA,NA,NA,0,-0.670123745688741,0.202340552201983
1991,233,40,2,2,0,0,3,3,3,NA,0,NA,NA,NA,0,-0.584201318031912,0.20444363852751
1992,233,40,2,1,0,0,3,3,4,NA,0,NA,NA,NA,0,-0.606170406531883,0.204621725459285
1993,233,40,2,1,0,0,3,3,4,NA,0,NA,NA,NA,0,-0.570296014533202,0.203195383080026
1994,233,40,2,1,0,0,3,3,3,NA,0,NA,NA,NA,0,-0.507334798982623,0.199901317198867
1995,233,40,2,1,0,0,4,3,3,4,0,NA,NA,NA,0,-0.541742343960048,0.204253244745354
1996,233,40,2,1,0,0,3,3,3,4,0,NA,NA,NA,0,-0.467086758958119,0.202095470128569
1997,233,40,2,2,0,0,3,3,3,4,0,NA,NA,NA,0,-0.34120426869433,0.205974145440915
1998,233,40,2,1,0,0,3,3,2,6,0,NA,NA,NA,0,-0.254459527381446,0.207100918192174
1999,233,40,2,2,0,0,3,3,2,4,0,NA,NA,NA,0,-0.102050321926421,0.212514080402095
2000,233,40,2,1,0,1,3,3,NA,3,0,NA,NA,NA,0,-0.0194051219213339,0.210025768121321
2001,233,40,2,2,0,1,3,3,NA,3,0,NA,NA,NA,0,0.0897773584266948,0.212451885303862
2002,233,40,2,2,0,0,2,3,NA,3,0,NA,NA,NA,0,0.198737899710452,0.218216170508542
2003,233,40,2,2,0,0,2,3,NA,3,0,NA,NA,NA,0,0.282408662195301,0.220285390700859
2004,233,40,2,2,0,0,2,3,NA,3,0,NA,NA,NA,0,0.299080645772723,0.219649516450898
2005,233,40,2,2,0,0,2,3,NA,3,0,NA,NA,NA,0,0.285785114737021,0.222456079328741
2006,233,40,2,2,0,0,3,3,NA,NA,0,NA,NA,NA,0,0.200505780791554,0.22960324577891
2007,233,40,2,1,0,0,3,3,NA,NA,0,NA,NA,NA,0,0.11320313556754,0.22760231625404
2008,233,40,2,2,0,0,3,3,NA,NA,0,NA,NA,NA,0,0.133528877542284,0.224182528359934
2009,233,40,2,2,0,0,3,3,NA,NA,0,NA,NA,NA,0,0.14665012160436,0.225627758457044
2010,233,40,2,2,0,0,3,3,NA,NA,0,NA,NA,NA,0,0.144698873497995,0.227197222709611
2011,233,40,2,2,0,0,3,3,NA,NA,0,NA,NA,NA,0,0.124959354981765,0.240541404810224
2012,NA,40,NA,NA,NA,NA,3,3,NA,NA,0,NA,NA,NA,0,0.0712634121863942,0.273228753254668
2013,NA,40,NA,NA,NA,NA,NA,3,NA,NA,0,NA,NA,NA,0,0.0555653449475571,0.331556990403232
1949,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.249474182296194,0.561948795622838
1950,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.256382021778385,0.548291764597067
1951,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.254582251233982,0.536073920120884
1952,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.24284982066382,0.524678383359917
1953,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.221864775244781,0.515803203759357
1954,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.190506859343989,0.503998348337062
1955,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.148758789801576,0.491202918081879
